id,Marca,Modelo,Ano,Valor,Codigo Fipe
KTM - EXC 250 - 1994,KTM,EXC 250,1994,R$ 5.553,00, 818010-5
KTM - EXC 250 - 2000,KTM,EXC 250,2000,R$ 9.342,00, 818010-5
MIZA - EASY LJ 125-10 - 2007,MIZA,EASY LJ 125-10,2007,R$ 1.874,00, 848006-0
HONDA - CB 450 DX - 1992,HONDA,CB 450 DX,1992,R$ 12.086,00, 811006-9
HARLEY-DAVIDSON - SOFTAIL SPORT GLIDE FLSB - 32000,HARLEY-DAVIDSON,SOFTAIL SPORT GLIDE FLSB,32000,R$ 118.941,00, 810097-7
IROS - Brave 70  QUADRICICLO - 2011,IROS,Brave 70  QUADRICICLO,2011,R$ 3.324,00, 867010-2
HONDA - CB 650R - 2020,HONDA,CB 650R,2020,R$ 49.587,00, 811160-0
BRP - can-am Outlander MAX XT 800R 4X4 Quadr. - 2015,BRP,can-am Outlander MAX XT 800R 4X4 Quadr.,2015,R$ 44.310,00, 864022-0
HONDA - CB 450 DX - 1993,HONDA,CB 450 DX,1993,R$ 13.545,00, 811006-9
HONDA - CB 450 DX - 1991,HONDA,CB 450 DX,1991,R$ 11.710,00, 811006-9
HONDA - CG 125 TODAY - 1992,HONDA,CG 125 TODAY,1992,R$ 2.801,00, 811023-9
KTM - EXC 250 - 1995,KTM,EXC 250,1995,R$ 6.752,00, 818010-5
KTM - DUKE 200/ABS - 2020,KTM,DUKE 200/ABS,2020,R$ 20.514,00, 818043-1
KTM - ADVENTURE 990cc - 2009,KTM,ADVENTURE 990cc,2009,R$ 39.376,00, 818026-1
HARLEY-DAVIDSON - SOFTAIL SPORT GLIDE FLSB - 2022,HARLEY-DAVIDSON,SOFTAIL SPORT GLIDE FLSB,2022,R$ 114.466,00, 810097-7
KTM - DUKE 200/ABS - 2018,KTM,DUKE 200/ABS,2018,R$ 16.331,00, 818043-1
KTM - EXC 380 - 2001,KTM,EXC 380,2001,R$ 10.513,00, 818011-3
KTM - EXC 300 - 2022,KTM,EXC 300,2022,R$ 73.639,00, 818017-2
HARLEY-DAVIDSON - SOFTAIL SPORT GLIDE FLSB - 2020,HARLEY-DAVIDSON,SOFTAIL SPORT GLIDE FLSB,2020,R$ 89.687,00, 810097-7
HONDA - CG 125 TODAY - 1993,HONDA,CG 125 TODAY,1993,R$ 2.905,00, 811023-9
KTM - EXC 125 - 2000,KTM,EXC 125,2000,R$ 7.988,00, 818007-5
IROS - Brave 70  QUADRICICLO - 2009,IROS,Brave 70  QUADRICICLO,2009,R$ 2.904,00, 867010-2
KTM - DUKE 200/ABS - 2021,KTM,DUKE 200/ABS,2021,R$ 21.132,00, 818043-1
HONDA - CG 125 TODAY - 1991,HONDA,CG 125 TODAY,1991,R$ 2.614,00, 811023-9
KTM - DUKE 200/ABS - 2015,KTM,DUKE 200/ABS,2015,R$ 15.028,00, 818043-1
MIZA - FAST LJ 150-2 - 2011,MIZA,FAST LJ 150-2,2011,R$ 3.097,00, 848003-6
L'AQUILA - AKROS 50 - 1999,L'AQUILA,AKROS 50,1999,R$ 1.552,00, 819001-1
MIZA - FAST LJ 150-2 - 2007,MIZA,FAST LJ 150-2,2007,R$ 2.296,00, 848003-6
KTM - EXC 300 - 32000,KTM,EXC 300,32000,R$ 76.390,00, 818017-2
HONDA - CB 650R - 2021,HONDA,CB 650R,2021,R$ 51.693,00, 811160-0
HARLEY-DAVIDSON - SOFTAIL SPORT GLIDE FLSB - 2019,HARLEY-DAVIDSON,SOFTAIL SPORT GLIDE FLSB,2019,R$ 81.037,00, 810097-7
KTM - EXC 380 - 1999,KTM,EXC 380,1999,R$ 9.192,00, 818011-3
KTM - EXC 300 - 2021,KTM,EXC 300,2021,R$ 64.124,00, 818017-2
BRP - can-am Outlander MAX XT 650 4X4 Quadr. - 2014,BRP,can-am Outlander MAX XT 650 4X4 Quadr.,2014,R$ 41.195,00, 864012-2
MIZA - FAST LJ 150-2 - 2009,MIZA,FAST LJ 150-2,2009,R$ 2.828,00, 848003-6
MIZA - FAST LJ 150-2 - 2008,MIZA,FAST LJ 150-2,2008,R$ 2.552,00, 848003-6
KTM - EXC 400 - 2002,KTM,EXC 400,2002,R$ 10.395,00, 818018-0
MAGRÃO TRICICLOS - MT7 CHOPPER 1.6 Std. - 2017,MAGRÃO TRICICLOS,MT7 CHOPPER 1.6 Std.,2017,R$ 42.963,00, 873001-6
MIZA - VITE LJ 150T-7 - 2011,MIZA,VITE LJ 150T-7,2011,R$ 3.139,00, 848005-2
KTM - EXC 450 - 2003,KTM,EXC 450,2003,R$ 11.911,00, 818023-7
KTM - EXC 450 - 2008,KTM,EXC 450,2008,R$ 20.352,00, 818023-7
KTM - EXC-F 250 - 2018,KTM,EXC-F 250,2018,R$ 52.185,00, 818038-5
KTM - EXC-F 250 - 2021,KTM,EXC-F 250,2021,R$ 62.794,00, 818038-5
MIZA - VITE LJ 150T-7 - 2008,MIZA,VITE LJ 150T-7,2008,R$ 2.605,00, 848005-2
KTM - EXC 450 - 2005,KTM,EXC 450,2005,R$ 16.392,00, 818023-7
KTM - EXC-F 250 - 2020,KTM,EXC-F 250,2020,R$ 61.071,00, 818038-5
HONDA - CBR 1000 RR Fireblade - 32000,HONDA,CBR 1000 RR Fireblade,32000,R$ 89.026,00, 811073-5
HONDA - CBR 1000 RR Fireblade - 2013,HONDA,CBR 1000 RR Fireblade,2013,R$ 59.425,00, 811073-5
HONDA - NC 700 X/ 700X ABS - 2015,HONDA,NC 700 X/ 700X ABS,2015,R$ 32.212,00, 811111-1
HONDA - NC 700 X/ 700X ABS - 2013,HONDA,NC 700 X/ 700X ABS,2013,R$ 30.480,00, 811111-1
HONDA - NC 700 X/ 700X ABS - 2014,HONDA,NC 700 X/ 700X ABS,2014,R$ 31.334,00, 811111-1
HONDA - CBR 1000 RR Fireblade - 2007,HONDA,CBR 1000 RR Fireblade,2007,R$ 35.179,00, 811073-5
APRILIA - SONIC 50cc - 1999,APRILIA,SONIC 50cc,1999,R$ 2.043,00, 802014-0
HONDA - CBR 1000 RR Fireblade - 2011,HONDA,CBR 1000 RR Fireblade,2011,R$ 47.600,00, 811073-5
APRILIA - SONIC 50cc - 2000,APRILIA,SONIC 50cc,2000,R$ 2.468,00, 802014-0
HONDA - CBR 1000 RR Fireblade - 2014,HONDA,CBR 1000 RR Fireblade,2014,R$ 63.280,00, 811073-5
HONDA - CBR 1000 RR Fireblade - 2020,HONDA,CBR 1000 RR Fireblade,2020,R$ 85.732,00, 811073-5
KASINSKI - COMET GT 650R V2power - 2011,KASINSKI,COMET GT 650R V2power,2011,R$ 14.953,00, 816019-8
DUCATI - MONSTER 821 - 2016,DUCATI,MONSTER 821,2016,R$ 36.832,00, 808061-5
KASINSKI - PRIMA RALLY 50cc - 2006,KASINSKI,PRIMA RALLY 50cc,2006,R$ 3.029,00, 816016-3
KASINSKI - COMET GT 650R V2power - 2006,KASINSKI,COMET GT 650R V2power,2006,R$ 8.860,00, 816019-8
HONDA - CB 650F - 2018,HONDA,CB 650F,2018,R$ 42.570,00, 811127-8
HONDA - CB 650F - 2017,HONDA,CB 650F,2017,R$ 41.305,00, 811127-8
KASINSKI - COMET GT 650R V2power - 2008,KASINSKI,COMET GT 650R V2power,2008,R$ 10.613,00, 816019-8
HONDA - CB 500F - 2021,HONDA,CB 500F,2021,R$ 36.565,00, 811118-9
HONDA - CB 1000R Black Edition - 2022,HONDA,CB 1000R Black Edition,2022,R$ 79.609,00, 811169-3
KASINSKI - SOFT 50cc - 2011,KASINSKI,SOFT 50cc,2011,R$ 2.076,00, 816031-7
HONDA - CBR 1000 RR Fireblade - 2019,HONDA,CBR 1000 RR Fireblade,2019,R$ 83.588,00, 811073-5
HONDA - CBR 1000 RR Fireblade - 2015,HONDA,CBR 1000 RR Fireblade,2015,R$ 64.926,00, 811073-5
KASINSKI - RX 125 - 2004,KASINSKI,RX 125,2004,R$ 4.962,00, 816009-0
KASINSKI - RX 125 - 1999,KASINSKI,RX 125,1999,R$ 2.611,00, 816009-0
KASINSKI - RX 125 - 2000,KASINSKI,RX 125,2000,R$ 3.166,00, 816009-0
KASINSKI - RX 125 - 2001,KASINSKI,RX 125,2001,R$ 3.298,00, 816009-0
KASINSKI - SUPER CAB 50cc - 2006,KASINSKI,SUPER CAB 50cc,2006,R$ 2.108,00, 816005-8
KASINSKI - FÚRIA 250cc - 2003,KASINSKI,FÚRIA 250cc,2003,R$ 6.459,00, 816014-7
KASINSKI - RX 125 - 2003,KASINSKI,RX 125,2003,R$ 4.275,00, 816009-0
MOTORINO - Star 200cc - 2015,MOTORINO,Star 200cc,2015,R$ 9.639,00, 881002-8
KASINSKI - SUPER CAB 100cc - 1999,KASINSKI,SUPER CAB 100cc,1999,R$ 2.187,00, 816004-0
KASINSKI - PRIMA 50 - 2005,KASINSKI,PRIMA 50,2005,R$ 2.155,00, 816008-2
KASINSKI - SUPER CAB 50cc - 1999,KASINSKI,SUPER CAB 50cc,1999,R$ 1.522,00, 816005-8
KASINSKI - COMET GT 650R V2power - 2005,KASINSKI,COMET GT 650R V2power,2005,R$ 8.618,00, 816019-8
KASINSKI - GV 250 MIRAGE - 2010,KASINSKI,GV 250 MIRAGE,2010,R$ 11.403,00, 816010-4
KASINSKI - SUPER CAB 50cc - 2003,KASINSKI,SUPER CAB 50cc,2003,R$ 1.803,00, 816005-8
DUCATI - MONSTER 821 - 2015,DUCATI,MONSTER 821,2015,R$ 35.821,00, 808061-5
KASINSKI - SUPER CAB 50cc - 2004,KASINSKI,SUPER CAB 50cc,2004,R$ 1.854,00, 816005-8
INDIAN - CHIEFTAIN DARK HORSE - 2018,INDIAN,CHIEFTAIN DARK HORSE,2018,R$ 94.999,00, 883009-6
INDIAN - SCOUT - 2018,INDIAN,SCOUT,2018,R$ 59.195,00, 883001-0
KASINSKI - COMET 250cc / COMET GT 250cc - 2007,KASINSKI,COMET 250cc / COMET GT 250cc,2007,R$ 5.802,00, 816015-5
KASINSKI - CRZ 150 - 2011,KASINSKI,CRZ 150,2011,R$ 3.702,00, 816028-7
KASINSKI - SUPER CAB 100cc - 2001,KASINSKI,SUPER CAB 100cc,2001,R$ 2.602,00, 816004-0
HONDA - CB 500F - 2016,HONDA,CB 500F,2016,R$ 28.221,00, 811118-9
HONDA - CB 650F - 32000,HONDA,CB 650F,32000,R$ 46.373,00, 811127-8
HONDA - CB 650F - 2016,HONDA,CB 650F,2016,R$ 39.202,00, 811127-8
APRILIA - SR RACING 50cc - 2001,APRILIA,SR RACING 50cc,2001,R$ 6.078,00, 802015-9
KASINSKI - SUPER CAB 50cc - 2002,KASINSKI,SUPER CAB 50cc,2002,R$ 1.753,00, 816005-8
HONDA - XR 650 - 1998,HONDA,XR 650,1998,R$ 8.117,00, 811047-6
KASINSKI - COMET 250cc / COMET GT 250cc - 2010,KASINSKI,COMET 250cc / COMET GT 250cc,2010,R$ 7.058,00, 816015-5
KASINSKI - CRUISE II 125 - 1997,KASINSKI,CRUISE II 125,1997,R$ 2.185,00, 816006-6
HONDA - XR 650 - 1997,HONDA,XR 650,1997,R$ 7.414,00, 811047-6
HONDA - CB 650F - 2015,HONDA,CB 650F,2015,R$ 36.983,00, 811127-8
INDIAN - CHIEF - 2018,INDIAN,CHIEF,2018,R$ 58.196,00, 883010-0
KASINSKI - COMET 250cc / COMET GT 250cc - 2009,KASINSKI,COMET 250cc / COMET GT 250cc,2009,R$ 6.256,00, 816015-5
HONDA - CB 450 DX - 1990,HONDA,CB 450 DX,1990,R$ 10.483,00, 811006-9
INDIAN - CHIEF CLASSIC - 2017,INDIAN,CHIEF CLASSIC,2017,R$ 69.406,00, 883002-9
HONDA - CB 450 DX - 1994,HONDA,CB 450 DX,1994,R$ 14.714,00, 811006-9
KASINSKI - COMET 250cc / COMET GT 250cc - 2012,KASINSKI,COMET 250cc / COMET GT 250cc,2012,R$ 8.418,00, 816015-5
HONDA - CB 650F - 2019,HONDA,CB 650F,2019,R$ 44.412,00, 811127-8
KASINSKI - SUPER CAB 100cc - 2000,KASINSKI,SUPER CAB 100cc,2000,R$ 2.260,00, 816004-0
KASINSKI - CRUISE II 125 - 2001,KASINSKI,CRUISE II 125,2001,R$ 2.780,00, 816006-6
KASINSKI - COMET 250cc / COMET GT 250cc - 2006,KASINSKI,COMET 250cc / COMET GT 250cc,2006,R$ 4.814,00, 816015-5
KASINSKI - COMET 250cc / COMET GT 250cc - 2008,KASINSKI,COMET 250cc / COMET GT 250cc,2008,R$ 6.083,00, 816015-5
KASINSKI - SUPER CAB 50cc - 1998,KASINSKI,SUPER CAB 50cc,1998,R$ 1.473,00, 816005-8
KASINSKI - GV 250 MIRAGE - 2003,KASINSKI,GV 250 MIRAGE,2003,R$ 6.078,00, 816010-4
KASINSKI - COMET GT 650R V2power - 2007,KASINSKI,COMET GT 650R V2power,2007,R$ 9.109,00, 816019-8
HUSQVARNA - WR 360 - 2002,HUSQVARNA,WR 360,2002,R$ 9.193,00, 812002-1
KASINSKI - SUPER CAB 50cc - 2000,KASINSKI,SUPER CAB 50cc,2000,R$ 1.658,00, 816005-8
KASINSKI - CRUISE II 125 - 2002,KASINSKI,CRUISE II 125,2002,R$ 2.991,00, 816006-6
KASINSKI - CRZ 150 - 2012,KASINSKI,CRZ 150,2012,R$ 4.228,00, 816028-7
KASINSKI - MAGIK 125cc - 2003,KASINSKI,MAGIK 125cc,2003,R$ 2.059,00, 816013-9
HONDA - CB 500F - 2017,HONDA,CB 500F,2017,R$ 29.448,00, 811118-9
KASINSKI - GF 125 SPEED - 2003,KASINSKI,GF 125 SPEED,2003,R$ 2.226,00, 816002-3
KASINSKI - CRZ 150 - 2013,KASINSKI,CRZ 150,2013,R$ 4.480,00, 816028-7
KASINSKI - FLASH K 150cc - 2007,KASINSKI,FLASH K 150cc,2007,R$ 2.012,00, 816018-0
HARLEY-DAVIDSON - STREET GLIDE SPECIAL FLHXS - 2017,HARLEY-DAVIDSON,STREET GLIDE SPECIAL FLHXS,2017,R$ 87.702,00, 810071-3
INDIAN - CHIEF CLASSIC - 2016,INDIAN,CHIEF CLASSIC,2016,R$ 63.650,00, 883002-9
KASINSKI - COMET 250cc / COMET GT 250cc - 2005,KASINSKI,COMET 250cc / COMET GT 250cc,2005,R$ 4.281,00, 816015-5
KASINSKI - SUPER CAB 50cc - 2005,KASINSKI,SUPER CAB 50cc,2005,R$ 1.948,00, 816005-8
HARLEY-DAVIDSON - STREET GLIDE SPECIAL FLHXS - 2015,HARLEY-DAVIDSON,STREET GLIDE SPECIAL FLHXS,2015,R$ 79.257,00, 810071-3
HARLEY-DAVIDSON - STREET GLIDE SPECIAL FLHXS - 2020,HARLEY-DAVIDSON,STREET GLIDE SPECIAL FLHXS,2020,R$ 121.816,00, 810071-3
HARLEY-DAVIDSON - STREET GLIDE SPECIAL FLHXS - 2021,HARLEY-DAVIDSON,STREET GLIDE SPECIAL FLHXS,2021,R$ 141.419,00, 810071-3
HARLEY-DAVIDSON - STREET GLIDE SPECIAL FLHXS - 2016,HARLEY-DAVIDSON,STREET GLIDE SPECIAL FLHXS,2016,R$ 82.401,00, 810071-3
HUSQVARNA - WR 360 - 2001,HUSQVARNA,WR 360,2001,R$ 7.776,00, 812002-1
HUSQVARNA - WR 360 - 1996,HUSQVARNA,WR 360,1996,R$ 4.364,00, 812002-1
INDIAN - ROADMASTER - 2016,INDIAN,ROADMASTER,2016,R$ 84.900,00, 883005-3
KASINSKI - CRZ 150 - 2010,KASINSKI,CRZ 150,2010,R$ 3.599,00, 816028-7
INDIAN - CHIEF SPRINGFIELD - 2018,INDIAN,CHIEF SPRINGFIELD,2018,R$ 81.226,00, 883006-1
KASINSKI - CRUISE II 125 - 1998,KASINSKI,CRUISE II 125,1998,R$ 2.242,00, 816006-6
INDIAN - ROADMASTER - 2018,INDIAN,ROADMASTER,2018,R$ 98.040,00, 883005-3
KASINSKI - COMET GT 650R V2power - 2010,KASINSKI,COMET GT 650R V2power,2010,R$ 11.751,00, 816019-8
INDIAN - ROADMASTER - 2017,INDIAN,ROADMASTER,2017,R$ 89.518,00, 883005-3
KASINSKI - COMET GT 650R V2power - 2009,KASINSKI,COMET GT 650R V2power,2009,R$ 10.913,00, 816019-8
SUNDOWN - ERGON 50cc - 1997,SUNDOWN,ERGON 50cc,1997,R$ 984,00, 824003-5
HONDA - CBR 1000 RR-R Fireblade SP - 32000,HONDA,CBR 1000 RR-R Fireblade SP,32000,R$ 181.008,00, 811168-5
HONDA - CBR 1000 RR-R Fireblade SP - 2022,HONDA,CBR 1000 RR-R Fireblade SP,2022,R$ 171.921,00, 811168-5
HARLEY-DAVIDSON - LOW RIDER FXDL - 2015,HARLEY-DAVIDSON,LOW RIDER FXDL,2015,R$ 44.466,00, 810073-0
BMW - G 650 X Challenge - 2007,BMW,G 650 X Challenge,2007,R$ 22.622,00, 803031-6
BMW - G 650 X Challenge - 2008,BMW,G 650 X Challenge,2008,R$ 23.261,00, 803031-6
HARLEY-DAVIDSON - LOW RIDER FXDL - 2017,HARLEY-DAVIDSON,LOW RIDER FXDL,2017,R$ 54.006,00, 810073-0
HARLEY-DAVIDSON - LOW RIDER FXDL - 2016,HARLEY-DAVIDSON,LOW RIDER FXDL,2016,R$ 45.720,00, 810073-0
HARLEY-DAVIDSON - HERITAGE SOFTAIL CLASSIC FLSTC - 1994,HARLEY-DAVIDSON,HERITAGE SOFTAIL CLASSIC FLSTC,1994,R$ 18.523,00, 810020-9
HONDA - XL 125 S - 1995,HONDA,XL 125 S,1995,R$ 3.094,00, 811040-9
HONDA - XL 125 S - 1993,HONDA,XL 125 S,1993,R$ 2.327,00, 811040-9
HARLEY-DAVIDSON - HERITAGE SOFTAIL CLASSIC FLSTC - 1997,HARLEY-DAVIDSON,HERITAGE SOFTAIL CLASSIC FLSTC,1997,R$ 30.503,00, 810020-9
HARLEY-DAVIDSON - ELECTRA GLIDE FLHT - 1996,HARLEY-DAVIDSON,ELECTRA GLIDE FLHT,1996,R$ 26.506,00, 810007-1
HARLEY-DAVIDSON - ELECTRA GLIDE FLHT - 1998,HARLEY-DAVIDSON,ELECTRA GLIDE FLHT,1998,R$ 33.247,00, 810007-1
HONDA - XL 125 S - 1992,HONDA,XL 125 S,1992,R$ 1.897,00, 811040-9
HARLEY-DAVIDSON - HERITAGE SOFTAIL CLASSIC FLSTC - 2001,HARLEY-DAVIDSON,HERITAGE SOFTAIL CLASSIC FLSTC,2001,R$ 42.508,00, 810020-9
HONDA - XL 125 S - 1996,HONDA,XL 125 S,1996,R$ 3.912,00, 811040-9
HARLEY-DAVIDSON - HERITAGE SOFTAIL CLASSIC FLSTC - 1996,HARLEY-DAVIDSON,HERITAGE SOFTAIL CLASSIC FLSTC,1996,R$ 26.114,00, 810020-9
HARLEY-DAVIDSON - HERITAGE SOFTAIL CLASSIC FLSTC - 1995,HARLEY-DAVIDSON,HERITAGE SOFTAIL CLASSIC FLSTC,1995,R$ 21.692,00, 810020-9
HARLEY-DAVIDSON - ELECTRA GLIDE FLHT - 1997,HARLEY-DAVIDSON,ELECTRA GLIDE FLHT,1997,R$ 30.670,00, 810007-1
HARLEY-DAVIDSON - ELECTRA GLIDE FLHT - 1995,HARLEY-DAVIDSON,ELECTRA GLIDE FLHT,1995,R$ 21.710,00, 810007-1
HARLEY-DAVIDSON - ELECTRA GLIDE FLHT - 2001,HARLEY-DAVIDSON,ELECTRA GLIDE FLHT,2001,R$ 36.114,00, 810007-1
HONDA - XL 125 S - 1994,HONDA,XL 125 S,1994,R$ 2.394,00, 811040-9
BMW - K 1100 RS - 1996,BMW,K 1100 RS,1996,R$ 18.078,00, 803003-0
BMW - K 1100 RS - 1994,BMW,K 1100 RS,1994,R$ 14.921,00, 803003-0
BMW - K 1100 RS - 1993,BMW,K 1100 RS,1993,R$ 14.034,00, 803003-0
BMW - K 1200 S - 2008,BMW,K 1200 S,2008,R$ 34.702,00, 803026-0
BMW - K 1100 RS - 1997,BMW,K 1100 RS,1997,R$ 18.585,00, 803003-0
BMW - K 1100 RS - 1995,BMW,K 1100 RS,1995,R$ 17.581,00, 803003-0
BMW - K 1200 S - 2007,BMW,K 1200 S,2007,R$ 33.749,00, 803026-0
HARLEY-DAVIDSON - FLHTCU ULTRA GLIDE - 1999,HARLEY-DAVIDSON,FLHTCU ULTRA GLIDE,1999,R$ 26.477,00, 810010-1
HARLEY-DAVIDSON - FAT BOY LOW/ SPECIAL FLSTFB - 2016,HARLEY-DAVIDSON,FAT BOY LOW/ SPECIAL FLSTFB,2016,R$ 68.781,00, 810053-5
HARLEY-DAVIDSON - FLHTCU ULTRA GLIDE - 1998,HARLEY-DAVIDSON,FLHTCU ULTRA GLIDE,1998,R$ 25.653,00, 810010-1
BMW - K 1200 GT - 2007,BMW,K 1200 GT,2007,R$ 36.805,00, 803023-5
HARLEY-DAVIDSON - FLHTCU ULTRA GLIDE - 1997,HARLEY-DAVIDSON,FLHTCU ULTRA GLIDE,1997,R$ 23.274,00, 810010-1
HARLEY-DAVIDSON - FLHTCU ULTRA GLIDE - 1996,HARLEY-DAVIDSON,FLHTCU ULTRA GLIDE,1996,R$ 22.276,00, 810010-1
BMW - K 1200 S - 2005,BMW,K 1200 S,2005,R$ 28.991,00, 803026-0
BMW - K 1200 GT - 2003,BMW,K 1200 GT,2003,R$ 25.869,00, 803023-5
HARLEY-DAVIDSON - FAT BOY LOW/ SPECIAL FLSTFB - 2017,HARLEY-DAVIDSON,FAT BOY LOW/ SPECIAL FLSTFB,2017,R$ 72.832,00, 810053-5
BMW - K 1200 S - 2006,BMW,K 1200 S,2006,R$ 30.802,00, 803026-0
HONDA - XL 700V TRANSALP - 2013,HONDA,XL 700V TRANSALP,2013,R$ 33.371,00, 811107-3
BMW - R 1250 GS Ed. Especial - 2022,BMW,R 1250 GS Ed. Especial,2022,R$ 118.875,00, 803092-8
HARLEY-DAVIDSON - FAT BOY LOW/ SPECIAL FLSTFB - 2013,HARLEY-DAVIDSON,FAT BOY LOW/ SPECIAL FLSTFB,2013,R$ 60.157,00, 810053-5
HARLEY-DAVIDSON - FLHTCU ULTRA GLIDE - 1995,HARLEY-DAVIDSON,FLHTCU ULTRA GLIDE,1995,R$ 20.698,00, 810010-1
BMW - R 1250 GS Ed. Especial - 32000,BMW,R 1250 GS Ed. Especial,32000,R$ 123.829,00, 803092-8
BMW - G 650 X Moto - 2007,BMW,G 650 X Moto,2007,R$ 18.694,00, 803032-4
BMW - K 1200 GT - 2008,BMW,K 1200 GT,2008,R$ 37.844,00, 803023-5
BMW - R 1200 RT - 2008,BMW,R 1200 RT,2008,R$ 45.225,00, 803025-1
BMW - R 1200 RT - 2005,BMW,R 1200 RT,2005,R$ 35.494,00, 803025-1
BMW - R 1200 RT - 2006,BMW,R 1200 RT,2006,R$ 40.127,00, 803025-1
KASINSKI - GF 125 SPEED - 2004,KASINSKI,GF 125 SPEED,2004,R$ 2.325,00, 816002-3
KASINSKI - GF 125 SPEED - 1998,KASINSKI,GF 125 SPEED,1998,R$ 1.769,00, 816002-3
KASINSKI - GF 125 SPEED - 2000,KASINSKI,GF 125 SPEED,2000,R$ 1.870,00, 816002-3
KASINSKI - GF 125 SPEED - 1999,KASINSKI,GF 125 SPEED,1999,R$ 1.819,00, 816002-3
KASINSKI - GF 125 SPEED - 2005,KASINSKI,GF 125 SPEED,2005,R$ 2.676,00, 816002-3
KASINSKI - GF 125 SPEED - 1997,KASINSKI,GF 125 SPEED,1997,R$ 1.687,00, 816002-3
ORCA - QM 50 - 1998,ORCA,QM 50,1998,R$ 1.043,00, 820006-8
ORCA - AX 100 - 1998,ORCA,AX 100,1998,R$ 1.280,00, 820002-5
KAWASAKI - Versys 650cc - 32000,KAWASAKI,Versys 650cc,32000,R$ 49.637,00, 817052-5
KAWASAKI - Versys 650cc - 2020,KAWASAKI,Versys 650cc,2020,R$ 44.992,00, 817052-5
KAWASAKI - Versys 650cc - 2012,KAWASAKI,Versys 650cc,2012,R$ 28.303,00, 817052-5
ORCA - JC 125 - 1998,ORCA,JC 125,1998,R$ 1.452,00, 820005-0
KAWASAKI - Versys 650cc - 2018,KAWASAKI,Versys 650cc,2018,R$ 39.770,00, 817052-5
KAWASAKI - Versys 650cc - 2013,KAWASAKI,Versys 650cc,2013,R$ 29.825,00, 817052-5
KAWASAKI - Versys 650cc - 2021,KAWASAKI,Versys 650cc,2021,R$ 46.702,00, 817052-5
KAWASAKI - KX 65 - 2010,KAWASAKI,KX 65,2010,R$ 7.023,00, 817047-9
KAWASAKI - Versys 650cc - 2016,KAWASAKI,Versys 650cc,2016,R$ 35.591,00, 817052-5
HONDA - CBR 1000 RR Fireblade - 2004,HONDA,CBR 1000 RR Fireblade,2004,R$ 27.665,00, 811073-5
KAWASAKI - Versys 650cc - 2022,KAWASAKI,Versys 650cc,2022,R$ 47.899,00, 817052-5
HONDA - CBR 1000 RR Fireblade - 2006,HONDA,CBR 1000 RR Fireblade,2006,R$ 33.584,00, 811073-5
HONDA - NX 150 - 1992,HONDA,NX 150,1992,R$ 3.266,00, 811030-1
HONDA - NX 150 - 1991,HONDA,NX 150,1991,R$ 3.178,00, 811030-1
KAWASAKI - Versys 650cc - 2017,KAWASAKI,Versys 650cc,2017,R$ 38.764,00, 817052-5
HONDA - CBR 1000 RR Fireblade - 2018,HONDA,CBR 1000 RR Fireblade,2018,R$ 81.499,00, 811073-5
HONDA - NX 150 - 1990,HONDA,NX 150,1990,R$ 2.880,00, 811030-1
KAWASAKI - KX 65 - 2009,KAWASAKI,KX 65,2009,R$ 6.735,00, 817047-9
HONDA - CBR 1000 RR Fireblade - 2012,HONDA,CBR 1000 RR Fireblade,2012,R$ 52.972,00, 811073-5
HONDA - CBR 1000 RR Fireblade - 2005,HONDA,CBR 1000 RR Fireblade,2005,R$ 30.353,00, 811073-5
KASINSKI - MIDAS FX 110cc - 2000,KASINSKI,MIDAS FX 110cc,2000,R$ 1.732,00, 816003-1
HONDA - CBR 1000 RR Fireblade - 2008,HONDA,CBR 1000 RR Fireblade,2008,R$ 38.305,00, 811073-5
REGAL RAPTOR - BLACK JACK 320 - 2011,REGAL RAPTOR,BLACK JACK 320,2011,R$ 8.206,00, 872003-7
HONDA - CBR 1000 RR Fireblade - 2010,HONDA,CBR 1000 RR Fireblade,2010,R$ 43.031,00, 811073-5
KASINSKI - SETA 125 - 2007,KASINSKI,SETA 125,2007,R$ 2.010,00, 816022-8
KASINSKI - TN 125 - 1996,KASINSKI,TN 125,1996,R$ 1.275,00, 816007-4
HONDA - CB 1000R/ABS - 2011,HONDA,CB 1000R/ABS,2011,R$ 42.811,00, 811109-0
KASINSKI - SETA 125 - 2009,KASINSKI,SETA 125,2009,R$ 2.554,00, 816022-8
HONDA - CBR 1000 RR Fireblade - 2009,HONDA,CBR 1000 RR Fireblade,2009,R$ 40.666,00, 811073-5
KASINSKI - SETA 125 - 2008,KASINSKI,SETA 125,2008,R$ 2.115,00, 816022-8
INDIAN - CHIEF SPRINGFIELD - 2017,INDIAN,CHIEF SPRINGFIELD,2017,R$ 78.997,00, 883006-1
KASINSKI - TN 125 - 1995,KASINSKI,TN 125,1995,R$ 1.145,00, 816007-4
REGAL RAPTOR - SPYDER 320 - 2014,REGAL RAPTOR,SPYDER 320,2014,R$ 10.324,00, 872002-9
HONDA - CH 125-R SPACY - 1995,HONDA,CH 125-R SPACY,1995,R$ 2.905,00, 811025-5
MV AGUSTA - BRUTALE 1090RR - 2012,MV AGUSTA,BRUTALE 1090RR,2012,R$ 34.257,00, 839012-6
REGAL RAPTOR - SPYDER 320 - 2011,REGAL RAPTOR,SPYDER 320,2011,R$ 9.839,00, 872002-9
BULL - Spirit SE 50 - 2020,BULL,Spirit SE 50,2020,R$ 8.312,00, 888013-1
