id,Marca,Modelo,Ano,Valor,Codigo Fipe
RIGUETE - TRC-01 SUPER LUXO SE 1.6 - 2011,RIGUETE,TRC-01 SUPER LUXO SE 1.6,2011,R$ 25.710,00, 880005-7
RIGUETE - TRC-01 SUPER LUXO SE 1.6 - 2022,RIGUETE,TRC-01 SUPER LUXO SE 1.6,2022,R$ 63.357,00, 880005-7
Royal Enfield - Bullet 500 - 2017,Royal Enfield,Bullet 500,2017,R$ 16.985,00, 879008-6
HARLEY-DAVIDSON - FAT BOY SCREAMING EAGLE - 2005,HARLEY-DAVIDSON,FAT BOY SCREAMING EAGLE,2005,R$ 56.857,00, 810039-0
RIGUETE - TRC-01 SUPER LUXO SE 1.6 - 2015,RIGUETE,TRC-01 SUPER LUXO SE 1.6,2015,R$ 33.949,00, 880005-7
KTM - SX 125 - 2010,KTM,SX 125,2010,R$ 14.892,00, 818006-7
RIGUETE - TRC-01 SUPER LUXO SE 1.6 - 2019,RIGUETE,TRC-01 SUPER LUXO SE 1.6,2019,R$ 47.616,00, 880005-7
RIGUETE - TRC-01 SUPER LUXO SE 1.6 - 2016,RIGUETE,TRC-01 SUPER LUXO SE 1.6,2016,R$ 34.907,00, 880005-7
RIGUETE - TRC-01 SUPER LUXO SE 1.6 - 2013,RIGUETE,TRC-01 SUPER LUXO SE 1.6,2013,R$ 29.605,00, 880005-7
KTM - SX 125 - 2009,KTM,SX 125,2009,R$ 14.483,00, 818006-7
Royal Enfield - Bullet 500 - 2019,Royal Enfield,Bullet 500,2019,R$ 17.867,00, 879008-6
SHINERAY - XY 50-Q PHOENIX - 32000,SHINERAY,XY 50-Q PHOENIX,32000,R$ 7.216,00, 850011-8
JONNY - HYPE 110cc - 2008,JONNY,HYPE 110cc,2008,R$ 1.872,00, 865002-0
SHINERAY - XY 50-Q PHOENIX - 2017,SHINERAY,XY 50-Q PHOENIX,2017,R$ 3.699,00, 850011-8
SHINERAY - XY 50-Q PHOENIX - 2021,SHINERAY,XY 50-Q PHOENIX,2021,R$ 6.249,00, 850011-8
SHINERAY - XY 50-Q PHOENIX - 2016,SHINERAY,XY 50-Q PHOENIX,2016,R$ 3.308,00, 850011-8
SHINERAY - XY 50-Q PHOENIX - 2020,SHINERAY,XY 50-Q PHOENIX,2020,R$ 5.578,00, 850011-8
SHINERAY - XY 50-Q PHOENIX - 2022,SHINERAY,XY 50-Q PHOENIX,2022,R$ 6.735,00, 850011-8
SHINERAY - XY 50-Q PHOENIX - 2019,SHINERAY,XY 50-Q PHOENIX,2019,R$ 4.806,00, 850011-8
SHINERAY - XY 50-Q PHOENIX - 2018,SHINERAY,XY 50-Q PHOENIX,2018,R$ 4.020,00, 850011-8
SUNDOWN - VBLADE 250cc - 2008,SUNDOWN,VBLADE 250cc,2008,R$ 9.898,00, 824014-0
SHINERAY - XY 50-Q PHOENIX - 2012,SHINERAY,XY 50-Q PHOENIX,2012,R$ 2.751,00, 850011-8
Royal Enfield - Continental GT Custom 650cc ABS - 2022,Royal Enfield,Continental GT Custom 650cc ABS,2022,R$ 30.557,00, 879019-1
SUNDOWN - VBLADE 250cc - 2007,SUNDOWN,VBLADE 250cc,2007,R$ 9.538,00, 824014-0
JONNY - TEXAS 150cc - 2012,JONNY,TEXAS 150cc,2012,R$ 3.443,00, 865012-8
JONNY - TEXAS 150cc - 2013,JONNY,TEXAS 150cc,2013,R$ 3.586,00, 865012-8
SHINERAY - XY 250-5 - 2009,SHINERAY,XY 250-5,2009,R$ 6.251,00, 850008-8
SHINERAY - XY 50-Q PHOENIX - 2011,SHINERAY,XY 50-Q PHOENIX,2011,R$ 2.337,00, 850011-8
SHINERAY - XY 50-Q PHOENIX - 2013,SHINERAY,XY 50-Q PHOENIX,2013,R$ 2.829,00, 850011-8
SHINERAY - XY 50Q VMV - 2013,SHINERAY,XY 50Q VMV,2013,R$ 1.966,00, 850016-9
Royal Enfield - Continental GT Custom 650cc ABS - 2021,Royal Enfield,Continental GT Custom 650cc ABS,2021,R$ 29.718,00, 879019-1
SHINERAY - XY 50Q-2 VENICE - 2015,SHINERAY,XY 50Q-2 VENICE,2015,R$ 3.237,00, 850022-3
SHINERAY - XY 250-5 - 2012,SHINERAY,XY 250-5,2012,R$ 7.817,00, 850008-8
SHINERAY - XY 250-5 - 2011,SHINERAY,XY 250-5,2011,R$ 7.601,00, 850008-8
JONNY - HYPE 50cc - 2014,JONNY,HYPE 50cc,2014,R$ 2.475,00, 865008-0
Royal Enfield - Continental GT Custom 650cc ABS - 2020,Royal Enfield,Continental GT Custom 650cc ABS,2020,R$ 28.964,00, 879019-1
SHINERAY - XY 50Q-2 VENICE - 2014,SHINERAY,XY 50Q-2 VENICE,2014,R$ 3.086,00, 850022-3
SHINERAY - XY 250-5 - 2013,SHINERAY,XY 250-5,2013,R$ 8.036,00, 850008-8
ADLY - ATV 50 - 2001,ADLY,ATV 50,2001,R$ 2.835,00, 840014-8
ADLY - ATV 100 - 2002,ADLY,ATV 100,2002,R$ 4.042,00, 840015-6
ADLY - ATV 50 - 2000,ADLY,ATV 50,2000,R$ 2.602,00, 840014-8
ADLY - ATV 100 - 2001,ADLY,ATV 100,2001,R$ 3.847,00, 840015-6
ADLY - ATV 100 - 2000,ADLY,ATV 100,2000,R$ 3.576,00, 840015-6
ADLY - JAGUAR JT 100 - 1998,ADLY,JAGUAR JT 100,1998,R$ 1.894,00, 840007-5
ATALA - MASTER 50cc - 2003,ATALA,MASTER 50cc,2003,R$ 1.848,00, 829001-6
