Modelo,Cilindrada,Ano,Valor,valor_fipe,Url,Codigo,cod_fipe,Data,Marca,Quilometragem,diferença_fipe,Município
HONDA CG 125 TITAN-KSE,125,2004,5500,6437,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/honda-cg-titan-125-kse-partida-1030910413,1030910413,"[{'Codigo': '811064-6', 'id': 'HONDA - CG 125 TITAN-KSE', 'Valor': 6437}]",20/05,HONDA,166000,,Belo Horizonte
DAFRA RIVA 150CC,150,2011,4999,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/riva-11-partida-eletrica-ybr-factor-apache-150-cc-11-cg-titan-ybr-125-twister-cb-300-1034684151,1034684151,"[{'Codigo': '861007-0', 'id': 'DAFRA - ZIG 100', 'Valor': 2568}, {'Codigo': '861011-8', 'id': 'DAFRA - SUPER 50', 'Valor': 2165}, {'Codigo': '861001-0', 'id': 'DAFRA - SUPER 100', 'Valor': 2333}, {'Codigo': '861002-9', 'id': 'DAFRA - SPEED 150', 'Valor': 3276}, {'Codigo': '861028-2', 'id': 'DAFRA - SPEED  Cargo 150', 'Valor': 2539}, {'Codigo': '861008-8', 'id': 'DAFRA - SMART 125cc', 'Valor': 4879}, {'Codigo': '861003-7', 'id': 'DAFRA - KANSAS 150', 'Valor': 4474}, {'Codigo': '861010-0', 'id': 'DAFRA - CITYCOM 300i', 'Valor': 9818}, {'Codigo': '861009-6', 'id': 'DAFRA - APACHE 150cc', 'Valor': 4276}]",20/05,DAFRA,17000,,Belo Horizonte
HONDA CG 125 TITAN,125,2007,6800,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-titan-2007-1034683842,1034683842,"[{'Codigo': '811070-0', 'id': 'HONDA - CG 150 TITAN-KS/ TITAN-JOB', 'Valor': 7035}, {'Codigo': '811072-7', 'id': 'HONDA - CG 150 TITAN-ESD/ TITAN SPECIAL EDITION', 'Valor': 8031}, {'Codigo': '811071-9', 'id': 'HONDA - CG 150 TITAN-ES', 'Valor': 7563}, {'Codigo': '811078-6', 'id': 'HONDA - CG 125 FAN / FAN KS / 125 i FAN', 'Valor': 5636}]",20/05,HONDA,30000,,Ipatinga
 ,50,2021,2200,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vendo-bicicleta-motorizada-80cc-documento-nota-fiscal-tudo-certo-2-200-1034683794,1034683794,[],20/05,,100,,Contagem
YAMAHA YBR 125 K,125,2008,5000,5022,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-1034680848,1034680848,"[{'Codigo': '827040-6', 'id': 'YAMAHA - YBR 125 K', 'Valor': 5022}]",20/05,YAMAHA,6000,,Paraopeba
HONDA ,125,2007,5000,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vendo-fan-125-1034674263,1034674263,"[{'Codigo': '811062-0', 'id': 'HONDA - XR 250 TORNADO', 'Valor': 10050}, {'Codigo': '811088-3', 'id': 'HONDA - XL 1000V VARADERO', 'Valor': 30713}, {'Codigo': '811063-8', 'id': 'HONDA - VTX 1800R/ 1800S/ 1800C 1795cc', 'Valor': 47537}, {'Codigo': '811083-2', 'id': 'HONDA - VT 750 SHADOW', 'Valor': 28688}, {'Codigo': '811074-3', 'id': 'HONDA - TRX 350 FOURTRAX  TM QUADRICICLO', 'Valor': 8093}, {'Codigo': '811075-1', 'id': 'HONDA - TRX 350 FOURTRAX  FM QUADRICICLO', 'Valor': 8605}, {'Codigo': '811085-9', 'id': 'HONDA - POP 100 97cc', 'Valor': 3543}, {'Codigo': '811081-6', 'id': 'HONDA - NXR 150 BROS KS', 'Valor': 6491}, {'Codigo': '811068-9', 'id': 'HONDA - NXR 150 BROS ESD', 'Valor': 8366}, {'Codigo': '811082-4', 'id': 'HONDA - NXR 150 BROS ES', 'Valor': 7907}, {'Codigo': '811033-6', 'id': 'HONDA - NX-4 FALCON 400', 'Valor': 13569}, {'Codigo': '811027-1', 'id': 'HONDA - GOLD WING 1500/ 1800', 'Valor': 62318}, {'Codigo': '811096-4', 'id': 'HONDA - CRF 250 X', 'Valor': 16250}, {'Codigo': '811087-5', 'id': 'HONDA - CRF 230 F', 'Valor': 9404}, {'Codigo': '811070-0', 'id': 'HONDA - CG 150 TITAN-KS/ TITAN-JOB', 'Valor': 7035}, {'Codigo': '811072-7', 'id': 'HONDA - CG 150 TITAN-ESD/ TITAN SPECIAL EDITION', 'Valor': 8031}, {'Codigo': '811071-9', 'id': 'HONDA - CG 150 TITAN-ES', 'Valor': 7563}, {'Codigo': '811077-8', 'id': 'HONDA - CG 150 SPORT', 'Valor': 7644}, {'Codigo': '811078-6', 'id': 'HONDA - CG 125 FAN / FAN KS / 125 i FAN', 'Valor': 5636}, {'Codigo': '811061-1', 'id': 'HONDA - CBX 250 TWISTER', 'Valor': 7742}, {'Codigo': '811069-7', 'id': 'HONDA - CBR 600 RR', 'Valor': 35144}, {'Codigo': '811073-5', 'id': 'HONDA - CBR 1000 RR Fireblade', 'Valor': 35179}, {'Codigo': '811086-7', 'id': 'HONDA - CB1300 SUPER FOUR', 'Valor': 37568}, {'Codigo': '811076-0', 'id': 'HONDA - CB 600F HORNET', 'Valor': 26640}, {'Codigo': '811084-0', 'id': 'HONDA - BIZ 125+', 'Valor': 8002}, {'Codigo': '811079-4', 'id': 'HONDA - BIZ 125 KS/ KS F.INJ./KS MIX F.INJECTION', 'Valor': 6870}, {'Codigo': '811080-8', 'id': 'HONDA - BIZ 125 ES/ ES F.INJ./ES MIX F.INJECTION', 'Valor': 7289}]",20/05,HONDA,1,,Belo Horizonte
HONDA CBX 250 TWISTER,250,2007,7500,7742,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cbx-250-twister-leia-o-anuncio-1034673992,1034673992,"[{'Codigo': '811061-1', 'id': 'HONDA - CBX 250 TWISTER', 'Valor': 7742}]",20/05,HONDA,92000,,Itabira
HONDA CG 125 FAN / FAN KS / 125 I FAN,125,2011,6000,6767,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-125-ks-2011-preta-1034673830,1034673830,"[{'Codigo': '811078-6', 'id': 'HONDA - CG 125 FAN / FAN KS / 125 i FAN', 'Valor': 6767}]",20/05,HONDA,90000,,Belo Horizonte
CYKLOS C8,125,2010,6000,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vendo-fan-2010-125-1034666103,1034666103,[],20/05,CYKLOS,66886,,Belo Horizonte
HONDA CG 150 TITAN-KS MIX,150,2007,5500,7035,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/titan-150-1034665702,1034665702,"[{'Codigo': '811070-0', 'id': 'HONDA - CG 150 TITAN-KS/ TITAN-JOB', 'Valor': 7035}]",20/05,HONDA,0,,Belo Horizonte
